ano,semana,promocao,feriado,vendas,preco_unitario,media_movel_3s,venda_anterior,categoria_Brinquedos,categoria_Eletrônicos,categoria_Higiene,categoria_Vestuário,loja_id_L002,loja_id_L003,loja_id_L004,loja_id_L005,produto_id_P002,produto_id_P003,produto_id_P004,produto_id_P005,produto_id_P006,produto_id_P007,produto_id_P008,produto_id_P009,produto_id_P010
2023,1,0,1,162,113.21,99.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,1,0,97,152.46,109.5,122.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,1,0,0,85,105.76,117.0,149.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023,1,1,0,131,171.69,114.0,97.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023,1,0,0,164,25.24,112.5,61.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,0,0,176,181.69,158.0,140.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,1,0,0,95,168.08,144.0,193.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,1,0,1,94,99.53,109.0,124.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023,1,0,0,149,89.24,113.0,77.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,1,0,1,142,15.02,91.0,40.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,1,0,0,139,134.58,155.5,172.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,0,0,194,96.85,219.0,244.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2023,1,0,0,96,186.65,70.0,44.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2023,1,0,0,115,183.1,112.5,110.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2023,1,0,0,58,155.73,156.0,254.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2023,1,0,0,101,18.94,73.0,45.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2023,1,1,0,75,62.54,109.0,143.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023,1,0,0,109,125.53,103.5,98.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023,1,0,0,119,20.87,117.0,115.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2023,1,0,0,76,145.95,151.0,226.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2023,1,0,0,42,97.01,89.5,137.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023,1,0,0,109,134.28,145.0,181.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2023,1,0,0,64,146.31,68.0,72.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2023,1,0,0,89,58.28,106.0,123.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2023,1,0,0,48,177.09,64.5,81.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2023,1,1,1,200,182.15,226.5,253.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2023,1,0,0,82,180.19,108.5,135.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2023,1,0,0,70,151.88,63.5,57.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023,1,0,0,244,27.09,206.5,169.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2023,1,0,0,26,195.06,29.0,32.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2023,1,0,0,151,134.08,104.5,58.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2023,1,0,0,19,126.37,70.0,121.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023,1,0,0,21,53.9,97.0,173.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023,1,0,0,182,29.43,167.5,153.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2023,1,0,0,135,122.01,92.5,50.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2023,1,1,1,55,97.13,70.5,86.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2023,1,0,0,64,52.18,71.0,78.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2023,1,0,0,43,55.67,122.0,201.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2023,1,0,0,86,178.04,125.5,165.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2023,1,1,1,200,150.88,133.5,67.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023,1,0,0,144,53.26,132.5,121.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2023,1,0,0,98,133.76,73.0,48.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2023,1,0,1,89,62.08,110.0,131.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2023,1,1,1,277,60.66,178.0,79.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023,1,1,1,207,61.28,154.5,102.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2023,1,0,0,32,76.09,46.0,60.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2023,1,1,0,168,191.96,204.5,241.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2023,1,0,0,127,155.26,86.0,45.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2023,1,0,0,211,165.45,125.0,39.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2023,1,0,0,142,87.12,131.0,120.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2023,2,0,0,142,163.76,123.33333333333333,131.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023,2,0,0,54,53.42,78.66666666666667,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,2,1,0,26,179.33,81.33333333333333,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023,2,1,0,114,62.85,104.0,162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,2,0,0,73,80.88,129.66666666666666,176.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,2,0,1,250,110.71,158.66666666666666,149.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,2,1,0,196,29.34,161.33333333333334,95.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,2,0,0,133,105.55,122.33333333333333,85.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023,2,0,0,182,43.22,135.66666666666666,164.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,2,0,0,30,189.16,83.0,97.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,2,1,0,361,57.13,189.33333333333334,109.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023,2,0,0,147,113.37,152.66666666666666,139.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023,2,0,0,146,76.14,95.33333333333333,96.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2023,2,0,0,128,112.01,91.33333333333333,101.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2023,2,0,0,170,152.99,134.66666666666666,119.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023,2,0,0,89,61.67,104.66666666666667,115.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2023,2,0,0,195,173.27,137.66666666666666,75.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023,2,1,0,209,159.57,215.66666666666666,194.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2023,2,1,0,62,91.57,121.33333333333333,76.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2023,2,1,0,239,91.06,183.66666666666666,58.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2023,2,0,0,185,192.54,104.0,70.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023,2,0,0,198,113.62,162.66666666666666,109.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
